,MTech Sem-III (ICT-ML),,,,,,,,,IT594,Deep Neural NLP & Applications,3-0-2-4,ML Elective III/IV,SDG,CEP-204,,,,,,,,,,,,,,,,IT586,Trustworthy AI – Theory and Practice,3-0-2-4,ML Elective III/IV,AKS,CEP-203
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MTech Sem-III (ICT-VLSI&ES),,EL453,Nanoelectronics,3-0-0-3,VES Elective III/IV,RP,CEP-106,,,,,,,,,,,,,,,,,,,,,,,EL518,Real-time Embedded Software,3-0-2-4,VES Elective III/IV,TKM,CEP-107
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MTech Sem-III (ICT-WCSP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MSc Sem-I (IT),,IT603,Introduction to Programming,3-0-2-4,Core,AC,CEP-207,,,,,,,,,,,,,,,,,,,,,,,IT615,Database Management Systems,3-0-2-4,Core,TBD,CEP-207
,MSc Sem-I (DS),,DS605,Fundamentals of Machine Learning,3-0-2-4,Core,AR2,LAB A-SF,,,,,,,,,,,,,,,,,,,,,,,DS603,Data Structures and Algorithms in Python,3-0-2-4,Core,AKM,CEP-202
,MSc Sem-III (IT),,,,,,,,,IT457,Cloud Computing,3-0-2-4,Technical Elective,PKS,CEP-209,,,,,,,,,IT643,Software Design and Testing,3-0-2-4,Core,AC,CEP-209,,IT645,Web and Mobile Development,3-0-2-4,Core,SB,CEP-209
,,,,,,,,,,IT531,Advanced Computer Networks,3-0-2-4,Technical Elective,AG1,CEP-205,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MSc Sem-III (DS),,,,,,,,,IT594,Deep Neural NLP & Applications,3-0-2-4,Technical Elective,SDG,CEP-204,,,,,,,,,DS635,Machine Learning Systems Engineering,3-0-2-4,Core,TBD,LAB A-SF,,DS636,Data Science Ethics,3-0-0-3,Core,M.Sc-DS (program-coordinator),LAB A-SF
,,,,,,,,,,IT457,Cloud Computing,3-0-2-4,Technical Elective,PKS,CEP-209,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MSc Sem-I (AA),,MA615,Fundamentals of Agricultural Science,2-0-0-2,Core,KCS,CEP-211,,,,,,,,,,,,,,,,,,,,,,,MA613,Earth Observations System,3-0-2-4,Core,SP1,CEP-211
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:00 - 9:50,,,Slot-4,,,,,,,Slot-5,,,,,,,Slot-6,,,,,,,Slot-3,,,,,,,Slot-4,,,,,
,BTech Sem-I (ICT + CS),,,,,,,,,,,,,,,,EL111,Basic Electronic Circuits (Sec A),3-0-2-4,Core,PK,LT-2,,SC107,Calculus (Sec A),3-1-0-4,Core,AM2,LT-3,,,,,,,
,,,,,,,,,,,,,,,,,EL111,Basic Electronic Circuits (Sec B),3-0-2-4,Core,RLD,LT-3,,SC107,Calculus (Sec B),3-1-0-4,Core,SB2,LT-2,,,,,,,
,BTech Sem-I (MnC),,MC116,Digital Logic Design,1-0-2-2,Core,SK,CEP-104,,,,,,,,,MC112,Computer Organization and Programming,3-0-0-3,Core,VSP,CEP-105,,,,,,,,,MC116,Digital Logic Design,1-0-2-2,Core,SK,CEP-104
,BTech Sem-I (EVD),,ED112,Engineering Physics,3-0-2-4,Core,AR,CEP-103,,ED111,Engineering Mathematics I,3-1-0-4,Core,NKS,CEP-204,,EL111,Basic Electronic Circuits (Sec B),3-0-2-4,Core,RLD,LT-3,,,,,,,,,ED112,Engineering Physics,3-0-2-4,Core,AR,CEP-103
,BTech Sem-III (ICT + CS),,IT227,Computer Systems Programming (Sec A),3-0-2-4,Core,SB,CEP-102,,SC223,Linear Algebra (Sec A),3-1-0-4,Core,MKR,CEP-110,,,,,,,,,IT216,Design and Analysis of Algorithms (Sec A),3-1-0-4,Core,PB,CEP-110,,IT227,Computer Systems Programming (Sec A),3-0-2-4,Core,SB,CEP-102
,,,IT227,Computer Systems Programming (Sec B),3-0-2-4,Core,AKM,CEP-110,,SC223,Linear Algebra (Sec B),3-1-0-4,Core,PK2,CEP-102,,HM216,"Science, Technology, and Society (Sec B)",3-0-0-3,Core,SJ,CEP-102,,IT216,Design and Analysis of Algorithms (Sec B),3-1-0-4,Core,RM,CEP-102,,IT227,Computer Systems Programming (Sec B),3-0-2-4,Core,AKM,CEP-110
,BTech Sem-III (MnC),,MC216,Probability and Random Processes,3-1-0-4,Core,SCN,CEP-105,,MC213,Design and Analysis of Algorithms,3-1-0-4,Core,SP,CEP-105,,,,,,,,,MC214,Operating Systems (along with IE411),3-0-2-4,Core,AMM,CEP-106,,MC216,Probability and Random Processes,3-1-0-4,Core,SCN,CEP-105
,BTech Sem-III (EVD),,ED213,Signal Processing and Control Systems,3-0-2-4,Core,HP,CEP-107,,,,,,,,,HM216,"Science, Technology, and Society (Sec B)",3-0-0-3,Core,SJ,CEP-102,,ED212,Solid State Devices,3-0-2-4,Core,PK,CEP-105,,ED213,Signal Processing and Control Systems,3-0-2-4,Core,HP,CEP-107
,BTech Sem-V (ICT + CS),,CT303,Digital Communication (Sec A),3-0-2-4,Core,MK2,LT-1,,,,,,,,,,,,,,,,IE420,Real-time Embedded Software,3-0-2-4,ICT & Technical Elective (RAS minor),TKM,CEP-107,,CT303,Digital Communication (Sec A),3-0-2-4,Core,MK2,LT-1
,,,CT303,Digital Communication (Sec B),3-0-2-4,Core,AJ,LT-2,,EL526,VLSI System Design,3-0-2-4,Technical Elective,YA,CEP-108,,,,,,,,,IE407,Internet of Things,3-0-2-4,ICT & Technical Elective (RAS minor),VSP,CEP-204,,CT303,Digital Communication (Sec B),3-0-2-4,Core,AJ,LT-2
,,,,,,,,,,EL401,Physics of Semiconductor,3-0-0-3,Technical Elective,HSJ,CEP-103,,,,,,,,,IE406,Machine Learning,3-0-2-4,ICT & Technical Elective (RAS minor),PA,LT-1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,IE403,Human Computer Interaction,3-0-2-4,ICT & Technical Elective (RAS minor),PKS,CEP-103,,,,,,,
,,,,,,,,,,EL453,Nanoelectronics,3-0-0-3,Technical Elective,RP,CEP-106,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BTech Sem-V (CS-Only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BTech Sem-V (MnC),,SC404,Advanced Matrix Theory,3-0-0-3,MnC Elective,AM2,CEP-106,,MC311,Mathematical Optimization,3-1-0-4,Core,AT,CEP-202,,MC312,Modelling and Simulation,3-0-2-4,Core,MT,CEP-202,,MC313,Algebraic Structures,3-1-0-4,Core,GD,CEP-205,,SC404,Advanced Matrix Theory,3-0-0-3,MnC Elective,AM2,CEP-106
,,,SC471,Algorithmic Graph Theory,3-0-2-4,MnC Elective,VS,CEP-206,,,,,,,,,,,,,,,,,,,,,,,SC471,Algorithmic Graph Theory,3-0-2-4,MnC Elective,VS,CEP-206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BTech Sem-V (EVD),,EL505,VLSI Circuit for DSP,3-0-2-4,Specialization Elective-2,BM,CEP-203,,EL470,Printed and Flexible Electronics ,3-0-2-4,Open Elective,AB,CEP-104,,,,,,,,,EL420,Real-time Embedded Software,3-0-2-4,Specialization  & Open Elective,TKM,CEP-107,,EL505,VLSI Circuit for DSP,3-0-2-4,Specialization Elective-2,BM,CEP-203
,,,,,,,,,,,,,,,,,,,,,,,,IE411,Operating Systems,3-0-2-4,Open Elective,AMM,CEP-106,,,,,,,
,BTech Sem-VII (ICT + CS),,SC404,Advanced Matrix Theory,3-0-0-3,Science Elective,AM2,CEP-106,,EL453,Nanoelectronics,3-0-0-3,Technical Elective,RP,CEP-106,,HM484,Modern European Philosophy,3-0-0-3,Open Elective,BK,CEP-106,,,,,,,,,SC404,Advanced Matrix Theory,3-0-0-3,Science Elective,AM2,CEP-106
,,,SC471,Algorithmic Graph Theory,3-0-2-4,Science Elective,VS,CEP-206,,,,,,,,,HM333,Human Behaviour Management,3-0-0-3,Open Elective,NB,CEP-108,,IE411,Operating Systems,3-0-2-4,ICT & Technical Elective,AMM,CEP-106,,SC471,Algorithmic Graph Theory,3-0-2-4,Science Elective,VS,CEP-206
,,,HM405,Idea of India,3-0-0-3,Open Elective,GM,CEP-108,,EL401,Physics of Semiconductor,3-0-0-3,Technical Elective,HSJ,CEP-103,,HM403,Corporate Finance,3-0-0-3,Open Elective,CJ,CEP-209,,IE407,Internet of Things,3-0-2-4,ICT & Technical Elective (RAS minor),VSP,CEP-204,,HM405,Idea of India,3-0-0-3,Open Elective,GM,CEP-108
,,,HM432,Organisational Behaviour,3-0-0-3,Open Elective,NB,CEP-204,,EL470,Printed and Flexible Electronics ,3-0-2-4,Technical Elective,AB,CEP-104,,HM404,Indian Society and Governance,2-1-0-3,Open Elective,VM,CEP-103,,IE406,Machine Learning,3-0-2-4,ICT & Technical Elective (RAS minor),PA,LT-1,,HM432,Organisational Behaviour,3-0-0-3,Open Elective,NB,CEP-204
,,,SC408,Applied Probability and Statistics ,3-0-0-3,Science Elective,AKT,LT-3,,,,,,,,,HM410,Debating Right and Wrong in the Mahabharata: Style and Context,3-0-0-3,Open Elective,GM,CEP-203,,,,,,,,,SC408,Applied Probability and Statistics ,3-0-0-3,Science Elective,AKT,LT-3
,,,HM411,Introduction to Speculative Fiction and Films,3-0-0-3,Open Elective,SG,CEP-205,,,,,,,,,CT509,Next Generation Wireless Communication,3-0-2-4,Technical Elective,YV/AJ/MK2/AG1,CEP-107,,IE403,Human Computer Interaction,3-0-2-4,ICT & Technical Elective (RAS minor),PKS,CEP-103,,HM411,Introduction to Speculative Fiction and Films,3-0-0-3,Open Elective,SG,CEP-205
,,,,,,,,,,,,,,,,,,,,,,,,IE420,Real-time Embedded Software,3-0-2-4,ICT & Technical Elective (RAS minor),TKM,CEP-107,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
