Dhirubhai Ambani University,,,,,,,,,,
Lecture Time-Table (Autumn '2025 - 26),,,,,,,,,,,
,,,,,,,,,,,
Time,Batch,,Monday,,,,,,,
8:00 - 8:50,,,Slot-5,,,,,,,
,MTech Sem-I (ICT-VLSI&ES),PC512,Communication Skills and Technical Writing,2-0-0-2,Program Core,PD,CEP-203,,
,MTech Sem-I (ICT-WCSP),PC512,Communication Skills and Technical Writing,2-0-0-2,Program Core,PD,CEP-203,,
,MTech Sem-III (ICT-SS),,,,,,,,
,MTech Sem-III (ICT-ML),,,,,,,,
,MTech Sem-III (ICT-VLSI&ES),,,,,,,,
,MTech Sem-III (ICT-WCSP),,,,,,,,
,MSc Sem-I (IT),PC613,Communication Skills,3-0-0-3,Core,JJ,CEP-207,,
,MSc Sem-I (DS),,,,,,,,
,MSc Sem-III (IT),T643,Software Design and Testing,3-0-2-4,Core,AC,CEP-209,,
,MSc Sem-III (DS),DS635,Machine Learning Systems Engineering,3-0-2-4,Core,TBD,LAB A-SF,,
,MSc Sem-I (AA),MA613,Earth Observations System,3-0-2-4,Core,SP1,CEP-211,,
12:00 - 12:50,,,Slot-1,,,,,,,
,BTech Sem-I (ICT + CS),,,,,,,,
,BTech Sem-I (MnC),,,,,,,,
,BTech Sem-I (EVD),,,,,,,,
,BTech Sem-III (ICT + CS),HM216,Science, Technology, and Society (Sec A),3-0-0-3,Core,SJ,CEP-110,,
,BTech Sem-III (MnC),HM216,Science, Technology, and Society (Sec A),3-0-0-3,Core,SJ,CEP-110,,
,BTech Sem-III (EVD),,,,,,,,
,BTech Sem-V (ICT + CS),CT437,Speech Communication,3-0-2-4,Technical Elective,HP,CEP-103,,
,BTech Sem-V (CS-Only),,,,,,,,
,BTech Sem-V (MnC),IE494,Big Data Processing,3-0-2-4,MnC Elective,PMJ,CEP-203,,
,BTech Sem-V (EVD),ED311,Digital Signal Processing Hardware,3-0-2-4,Core,BM/HP/YA/TKM/SR,CEP-107,,
,BTech Sem-VII (ICT + CS),CT437,Speech Communication,3-0-2-4,Technical Elective,HP,CEP-103,,
,BTech Sem-VII (MnC),SC477,Quantum Information Theory,3-0-0-3,MnC Elective,GD,CEP-202,,
,MTech Sem-I (ICT-SS),IE402,Optimization,3-0-2-4,General Elective (Maths),NKS,CEP-204,,
,MTech Sem-I (ICT-ML),IE402,Optimization,3-0-2-4,General Elective (Maths),NKS,CEP-204,,
,MTech Sem-I (ICT-VLSI&ES),IE402,Optimization,3-0-2-4,General Elective (Maths),NKS,CEP-204,,
,MTech Sem-I (ICT-WCSP),IE402,Optimization,3-0-2-4,General Elective (Maths),NKS,CEP-204,,
,MTech Sem-III (ICT-SS),,,,,,,,
,MTech Sem-III (ICT-ML),,,,,,,,
,MTech Sem-III (ICT-VLSI&ES),,,,,,,,
,MTech Sem-III (ICT-WCSP),CT540,Speech Communication,3-0-2-4,WC&SP Elective III/IV,HP,CEP-103,,
,MSc Sem-I (IT),,,,,,,,
,MSc Sem-I (DS),,,,,,,,
,MSc Sem-III (IT),IE494,Big Data Processing,3-0-2-4,Technical Elective,PMJ,CEP-203,,
,MSc Sem-III (DS),CT437,Speech Communication,3-0-2-4,Technical Elective,HP,CEP-103,,
,MSc Sem-I (AA),,,,,,,,
,,,Wednesday,,,,,,,
8:00 - 8:50,,,Slot-Free,,,,,,,
,BTech Sem-I (ICT + CS),IC101,Introduction to ICT (Sec A),1-0-2-2,Core,AR3/VSP/SK,LT-2,,
,BTech Sem-I (ICT + CS),IC101,Introduction to ICT (Sec B),1-0-2-2,Core,AR3/VSP/SK,LT-3,,
,BTech Sem-I (MnC),,,,,,,,
,BTech Sem-I (EVD),,,,,,,,
,BTech Sem-III (ICT + CS),,,,,,,,
,BTech Sem-III (MnC),,,,,,,,
,BTech Sem-III (EVD),,,,,,,,
,BTech Sem-V (ICT + CS),IT314,Software Engineering (Sec A),3-0-2-4,Core,ST,CEP-110,,
,BTech Sem-V (CS-Only),,,,,,,,
,BTech Sem-V (MnC),MC312,Modelling and Simulation,3-0-2-4,Core,MT,CEP-202,,
,BTech Sem-V (EVD),,,,,,,,
,BTech Sem-VII (ICT + CS),HM484,Modern European Philosophy,3-0-0-3,Open Elective,BK,CEP-106,,
,BTech Sem-VII (MnC),HM484,Modern European Philosophy,3-0-0-3,Open Elective,BK,CEP-106,,
,MTech Sem-I (ICT-SS),,,,,,,,
,MTech Sem-I (ICT-ML),,,,,,,,
,MTech Sem-I (ICT-VLSI&ES),,,,,,,,
,MTech Sem-I (ICT-WCSP),,,,,,,,
