Dhirubhai Ambani Institute of Information and Communication Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lecture Time-Table (Autumn '2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Batch,,Monday,,,,,,,Tuesday,,,,,,,Wednesday,,,,,,,Thursday,,,,,,,Friday,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:00 - 8:50,,,Slot-5,,,,,,,Slot-8,,,,,,,Slot-6,,,,,,,Slot-7,,,,,,,Slot-3,,,,,
,MTech Sem-III (ICT-VLSI&ES),,EL453,Nanoelectronics,3-0-0-3,VES Elective III/IV,RP,CEP-106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,EL519,Lowpower VLSI Design,2-0-2-3,VES Elective III/IV,BM,CEP-205,,EL530,Introduction to Embedded Artifical Intelligence,3-0-2-4,VES Elective III/IV,TKM,CEP-106,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MTech Sem-III (EC),,,,,,,,,CT425,RF and Antenna Engineering,3-0-0-3,WC&SP  Elective III/IV,DKG,CEP-108,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,CT509,Next Generation Wireless Communication,3-0-2-4,WC&SP Elective III/IV,YV,CEP-103,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MSc Sem-I (IT),,IT603,Introduction to Programming,3-0-2-4,Core,TBD,CEP-207,,,,,,,,,,,,,,,,,,,,,,,IT615,Database Management Systems,3-0-2-4,Core,MB,CEP-207
,MSc Sem-I (DS),,DS605,Fundamentals of Machine Learning,3-0-2-4,Core,AR2,LAB A-SF,,,,,,,,,,,,,,,,,,,,,,,DS603,Data Structures and Algorithms (with Python),3-0-2-4,Core,BG,CEP-202
,MSc Sem-III (IT),,IT645,Web and Mobile Development,3-0-2-4,Core,SB,CEP-209,,IT531,Advanced Computer Networks,3-0-2-4,Technical Elective,PKS,CEP-209,,HM403,Corporate Finance,3-0-0-3,Open Elective,CJ,CEP-209,,T643,Software Design and Testing,3-0-2-4,Core,ST,CEP-209,,,,,,,
,,,,,,,,,,,,,,,,,HM333,Human Behaviour Management,3-0-0-3,Open Elective,NB,CEP-108,,,,,,,,,,,,,,
