id,instructor_id,course_id,created_at,updated_at
2b8f80c4-58f9-445a-98ad-faf9d58d606b,7dd9f938-e20d-4c15-a90b-7e1b485b3420,5d68a7a3-b711-468e-a2b2-3c18599fa839,2025-07-23 02:18:31.512956+00,2025-07-23 02:18:31.513015+00
2c9ee54d-0db4-4d13-a583-975494d03880,30c85141-1719-48a9-846b-061ebd8fe793,b074e404-cbde-4d62-8157-e8e0cbbb40df,2025-07-23 02:20:31.661909+00,2025-07-23 02:20:31.661961+00
2e399538-afdc-4aa6-8bdf-d229bf8ba2b6,bdf3f6b1-d661-4afb-aa5e-7aaa287d6394,928373f3-8970-48f3-b2b9-f61e781d92d6,2025-07-23 02:18:54.686725+00,2025-07-23 02:18:54.686773+00
2e3ea35e-f00a-47bd-a644-9b5856800f08,938ce473-6c90-4982-b93d-647a21693a6a,2252abdf-9310-4b49-8b64-1b28ce1aadac,2025-07-23 02:19:35.681178+00,2025-07-23 02:19:35.681385+00
2fef8b8f-f37e-41e5-aa17-9b6e19645389,30c85141-1719-48a9-846b-061ebd8fe793,3587b245-ea86-487c-b2b0-f4d1b9d06557,2025-07-23 02:20:30.316944+00,2025-07-23 02:20:30.316997+00
3068be39-4593-4008-8306-04a17f0dac86,48a952b1-1bbf-4971-8485-481316f5dbed,653fbd83-c9e8-431e-bc94-cac4070ddfc6,2025-07-23 02:18:59.366131+00,2025-07-23 02:18:59.366217+00
30e1405d-3388-47a2-ac28-98b617a1f84b,bdf3f6b1-d661-4afb-aa5e-7aaa287d6394,003ce616-c8ca-489d-b0de-f61ae64833b8,2025-07-23 02:20:09.618712+00,2025-07-23 02:20:09.618901+00
31c1c611-ad2d-43c7-b0db-2c8354d8d530,84058616-d360-4959-81ef-aa2241864e31,0fce17b0-70d3-44e3-ac3c-bb3299406b2c,2025-07-23 02:18:52.201532+00,2025-07-23 02:18:52.201587+00
32b2c67f-e1da-477e-a6d4-6fd4c95f4733,e7c07afa-f2da-4c02-b5b0-2fb1188eded2,1ac24eb4-b62f-4ef6-a381-fedf32046bdc,2025-07-23 02:20:38.797102+00,2025-07-23 02:20:38.797162+00
33cc1be3-eb57-4770-ae05-e191cf2e21cf,e7c07afa-f2da-4c02-b5b0-2fb1188eded2,1ac24eb4-b62f-4ef6-a381-fedf32046bdc,2025-07-23 02:18:50.64076+00,2025-07-23 02:18:50.641158+00
348be8ff-b2ea-4629-8257-d0034c9ffab5,f074acf8-e119-40f7-9f94-e36c7699fcbb,5d327211-9aa1-45e8-a148-0b5cdcf391aa,2025-07-23 02:20:34.261614+00,2025-07-23 02:20:34.261676+00
386c0efe-46c6-4410-8e10-c815783e6def,25e5976b-e645-4183-9736-35a59d28b60b,a8b29308-ab89-4891-954e-452a4d8e5da9,2025-07-23 02:18:39.134026+00,2025-07-23 02:18:39.134094+00
3922f93a-6562-439b-8dc8-97a8e90a4c93,90cd96cb-357b-4bb7-9db7-1fc9d3db737a,c9f1d835-853b-4bd7-a01d-4a4c9d7f424c,2025-07-23 02:20:02.027617+00,2025-07-23 02:20:02.027672+00
3ce63f94-b6f7-4026-b5d4-e402fb87408a,d171a840-3ff7-4178-8920-18d1f55a98bc,ef2a0b22-84d4-4d9b-baba-02e37e3ad28c,2025-07-23 02:18:27.29295+00,2025-07-23 02:18:27.29325+00
3e6eb725-95d5-4d1d-a8bc-26fef2087675,a1e77beb-1c9b-4711-a715-c9ba4c318981,b04ccbd2-df92-47b3-81aa-d69ffacf6857,2025-07-23 02:19:01.536005+00,2025-07-23 02:19:01.536053+00
40444baf-43cd-4adf-9bed-9bd8519c740b,30c85141-1719-48a9-846b-061ebd8fe793,b074e404-cbde-4d62-8157-e8e0cbbb40df,2025-07-23 02:19:32.213275+00,2025-07-23 02:19:32.21332+00
4182f231-0466-4f96-aaed-a68b55d82d0b,c96825d9-3c67-4dc0-8438-60a7790788f5,ba6a3083-3232-4f44-9d6c-da4e3337ea2f,2025-07-23 02:18:36.784024+00,2025-07-23 02:18:36.784078+00
456cc71d-7c4c-4267-868b-579723ed21c3,30c85141-1719-48a9-846b-061ebd8fe793,3587b245-ea86-487c-b2b0-f4d1b9d06557,2025-07-23 02:19:35.182122+00,2025-07-23 02:19:35.182173+00
45aa06ad-a17d-49b5-b6a9-29d572db0df5,a8bbb640-80d7-44a0-9894-bb9a1bf9e750,c847f7b2-c485-4af3-9f0b-123a66eed362,2025-07-23 02:19:58.632787+00,2025-07-23 02:19:58.632843+00
4660c1fb-a4e9-481b-96b6-f8b31d0eebb7,84058616-d360-4959-81ef-aa2241864e31,c04aea25-0d3f-4c6f-93f9-f45a6a47cab3,2025-07-23 02:20:08.366243+00,2025-07-23 02:20:08.366362+00
466fc33f-52cf-48f8-9530-8ae5bb8be68b,365e2e81-92a3-4588-a6c9-a89e324bfceb,25a78bff-9e79-4828-a1f1-6e48554ccfcf,2025-07-23 02:18:35.082796+00,2025-07-23 02:18:35.082858+00
4727d94f-c5e6-4873-a2ec-3a484b4ca2d3,e7c07afa-f2da-4c02-b5b0-2fb1188eded2,1ac24eb4-b62f-4ef6-a381-fedf32046bdc,2025-07-23 02:19:06.966346+00,2025-07-23 02:19:06.966392+00
479a1b72-e20f-43fe-9100-da233eb0de8f,0f42beb9-2805-4643-8c7e-c05c146e9766,ec1fc10d-463a-4885-8037-0e3b9a9dc7e1,2025-07-23 02:19:08.981114+00,2025-07-23 02:19:08.981162+00
484fbec7-3c88-442a-9f0f-a9ec5750ea44,9a07e6b3-2469-4d15-a157-df6032f05b8b,50d97e2e-c300-4c26-8345-448b7bbcf77e,2025-07-23 02:20:16.32854+00,2025-07-23 02:20:16.328661+00
4871d747-927c-46aa-857b-19a806100cde,189ab287-386e-418f-9a53-ff4495832bf5,c8c2c3b7-5143-4397-9113-b932cae758f1,2025-07-23 02:18:38.567227+00,2025-07-23 02:18:38.567288+00
